classmark,title,date_from,date_to,summary,medical_terms
MS-TS-AR-00044-00077,Medical,0500-01-01,1899-12-31,"Two bifolia from a medical work dealing with the different types of fevers, their causes, symptoms, treatments, and times of development. Changes in the humours in case of fever and the best diet during treatment.","['cause', 'diet', 'fever', 'humour', 'medical', 'treatment']"
MS-TS-AR-00044-00078,Medical,0500-01-01,1899-12-31,"Leaf from a theoretical medical work dealing with the humours, temperaments, and mentioning bodily moisture and sweat.","['bodily', 'humour', 'medical', 'sweat']"
MS-TS-AR-00044-00079,Medical; autograph,0500-01-01,1899-12-31,"Autograph leaves of Maimonides, Treatise on sexual intercourse.","['intercourse', 'sexual']"
MS-TS-AR-00044-00080,Medical,0500-01-01,1899-12-31,"Leaf from a medico-philosophical work, dealing with both medical theory and pathology, describing jaundice, diabetes, stones in urine and fevers. Galen is mentioned in the theoretical part. Verso includes the beginning of one recipe in Arabic script.","['diabetes', 'fever', 'galen', 'jaundice', 'medical', 'medico-philosophical', 'pathology', 'urine']"
MS-TS-AR-00044-00082,Medical,0500-01-01,1899-12-31,"Leaf from a philosophical work, dealing with the senses and sensation, the body’s reactions to stimuli, and the rational faculty.","['body', 'stimulus']"
MS-TS-AR-00044-00083,Medical,0500-01-01,1899-12-31,"Leaf from a Judaeo-Arabic medical work, dealing with the anatomy, physiology and pathology of the lungs, and, in particular, breathing, diseases of the lungs, ulcerations of the lung tissues, and problems related to the treatment of affected lungs.","['anatomy', 'breathing', 'disease', 'lung', 'medical', 'pathology', 'physiology', 'tissue', 'treatment', 'ulceration']"
MS-TS-AR-00044-00084,Medical; philosophical,0500-01-01,1899-12-31,"Passage from a medico-philosophical work, describing the faculties of the human body; its composition, and the four humours. A few words in Arabic script are used within the main Judaeo-Arabic text.","['body', 'human', 'humour', 'medico-philosophical']"
MS-TS-AR-00044-00085,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work presented in the form of questions and answers. The text focuses mostly on eye diseases, using material derived from ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’).","['disease', 'eye', 'medical', 'optician']"
MS-TS-AR-00044-00086,Medical,0500-01-01,1899-12-31,"Page from a medical work dealing with the management of patients, here focussing on patients with lung problems and their management through diet, bathing, drugs and cough syrups.","['bathing', 'cough', 'diet', 'drug', 'lung', 'medical', 'patient', 'syrup']"
MS-TS-AR-00044-00090,Medical,0500-01-01,1899-12-31,"Bifolium from a work on materia medica, presenting a series of simples and recipes for combining them. The simples include pepper, manna, ginger, bread, olive oil, and milk.","['bread', 'ginger', 'manna', 'medica', 'milk', 'oil', 'olive', 'pepper']"
MS-TS-AR-00044-00091,Medical,0500-01-01,1899-12-31,"Two bifolia from a Judaeo-Arabic medical work, dealing with throat inflammations, ailments of the uvula, abscesses of the tonsils, and diphtheria. The fragment also includes a description of medical recipes.","['abscess', 'ailment', 'diphtheria', 'inflammation', 'medical', 'tonsil', 'uvula']"
MS-TS-AR-00044-00093,Medical,0500-01-01,1899-12-31,"Leaf from a medical work focussing of different types of inflammation and their treatment. It mentions Hippocrates and Galen, whose names appear in Arabic script. Arabic phrases are interspersed within the main Judaeo-Arabic text.","['galen', 'hippocrates', 'inflammation', 'medical', 'treatment']"
MS-TS-AR-00044-00094,Medical,0500-01-01,1899-12-31,"Leaf from a medical work dealing with fevers, diseases of the chest and lungs and liver.","['chest', 'disease', 'fever', 'liver', 'lung', 'medical']"
MS-TS-AR-00044-00099,Medical,0500-01-01,1899-12-31,"Leaf from a Judaeo-Arabic version of Avicenna, Al-qanūn fī l-ṭibb (‘Canon of medicine’), dealing with medicine that helps increase the hotness, coldness, moisture and dryness of the body, according to the general humoral theory (ed. Būlāq 1871, I: 104-105).","['body', 'coldness', 'dryness', 'hotness', 'medicine']"
MS-TS-AR-00044-00101,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work, dealing with the seasons of the year and the different ailments that are more common during each of them. The text follows the general Galenic theory of the temperaments.","['ailment', 'medical']"
MS-TS-AR-00044-00121,Medical,0500-01-01,1899-12-31,Bifolium from a medical work dealing with sexual intercourse and the reaction of different temperaments during sex. The fragment also gives a list of medicaments useful for balancing temperaments relating to sexual intercourse.,"['balancing', 'intercourse', 'medical', 'medicament', 'sex', 'sexual']"
MS-TS-AR-00044-00127,Medical; magical,0500-01-01,1899-12-31,"Bifolium from a medico-magical booklet, preserving drawings of magical triangles with successively shortened names of angels (f. 2v) and magical characteres (f. 1v). The text contains elements of popular medicine, and identifies the origin of illnesses with the intervention of supernatural forces.","['illness', 'magical', 'medicine', 'medico-magical']"
MS-TS-AR-00044-00129,Medical,0500-01-01,1899-12-31,"Leaf from a work on materia medica, dealing with simples and instruments whose names begin with the letter ḥā’ and their uses: the use of scales, management of heat in the preparation of drugs, African rue, soil, and pepper cress.","['cress', 'drug', 'heat', 'medica', 'pepper', 'preparation', 'scale']"
MS-TS-AR-00044-00130,Medical,0500-01-01,1899-12-31,"Bifolium from the Arabic version of Avicenna, Al-qanūn fī l-ṭibb (‘Canon of medicine’), dealing with the different kinds of headache (ed. Būlāq 1871, II: 37-39).","['headache', 'medicine']"
MS-TS-AR-00044-00139,Medical,0500-01-01,1899-12-31,"Page from a medical work focussing on Galen’s ‘non-naturals’: the influence of different foods, climate and quality of air on health with a discussion of the differing features of locations at the four cardinal points.","['air', 'food', 'galen', 'health', 'medical']"
MS-TS-AR-00044-00147,Medical,0500-01-01,1899-12-31,"Two pages from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’), second discourse, chapters 14-15 and 139-43 (ed. Hyderabad 1964, pp. 114-7; 139-143).",['optician']
MS-TS-AR-00044-00148,Medical,0500-01-01,1899-12-31,Leaf from a medical work dealing with palpitations caused by excessive heat in the body and their treatment; list of simples and their uses; beginning of a chapter on the liver and its ailments.,"['ailment', 'body', 'caused', 'excessive', 'heat', 'liver', 'medical', 'palpitation', 'treatment']"
MS-TS-AR-00044-00149,Medical,0500-01-01,1899-12-31,Page from a medical work focussing on the anatomy of the liver and its pathology and treatment. The beginning of a ‘Third chapter on the liver and its illnesses’ is found on verso. Recto contains recipes and descriptions of materia medica.,"['anatomy', 'illness', 'liver', 'medica', 'medical', 'pathology', 'treatment']"
MS-TS-AR-00044-00150,Medical,0500-01-01,1899-12-31,"Page from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’), second discourse, chapters 9 and 10 (whose headings are written in large square script), on trichiasis, inversion or ingrowth of eyelids (ed. Hyderabad 1964, pp. 96-99).","['eyelid', 'ingrowth', 'optician', 'trichiasis']"
MS-TS-AR-00044-00151,Medical,1200-01-01,1200-12-31,"Leaf from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’), end of first discourse and beginning of second discourse (ed. Hyderabad 1964, pp. 39-42). The end of the first discourse preserves a note by the copyist that records that the manuscript was copied in Cairo in the year 1511 of the Seleucid era, corresponding to the year 1200 CE.",['optician']
MS-TS-AR-00044-00152,Medical,0500-01-01,1899-12-31,Bifolium from an Arabic medical work on pathology. Includes the beginning of the first chapter (faṣl) and the opening of the second section (bāb).,"['medical', 'pathology']"
MS-TS-AR-00044-00153,Medical,0500-01-01,1899-12-31,"Leaf from an alphabetically arranged lexicon of materia medica, here listing simples under letter ‘bā’’ and their medicinal uses. The simples include saponous plants, beans, onion, and urine. The text includes quotations from Ibn Māsawayh.","['bean', 'medica', 'medicinal', 'onion', 'plant', 'urine']"
MS-TS-AR-00044-00166,Medical,0500-01-01,1899-12-31,"Leaf from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’), from the first discourse, chapters 16-19 (ed. Hyderabad 1964, pp. 29-33).",['optician']
MS-TS-AR-00044-00170,Medical,0500-01-01,1899-12-31,"Bifolium from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-Kaḥḥālīn (‘Memorandum for opticians’), from the first discourse, chapters 15-17 and beginning of the second discourse (ed. Hyderabad 1964, pp. 27-30, 51-55).",['optician']
MS-TS-AR-00044-00181,Medical,0500-01-01,1899-12-31,"Collection of remedies probably from a medical notebook for personal use, dealing with the treatment of haemorrhoids and bleeding from the rectum.","['bleeding', 'haemorrhoid', 'medical', 'remedy', 'treatment']"
MS-TS-AR-00044-00182,Medical,0500-01-01,1899-12-31,"Leaf from a work on materia medica, with recipes (mostly for potions and syrups) derived from fruits: apricot, quince and carob.","['apricot', 'carob', 'fruit', 'medica', 'potion', 'quince', 'syrup']"
MS-TS-AR-00044-00187,Medical,0500-01-01,1899-12-31,"Leaf from a work on pharmacopoeia describing the preparation of remedies for indigestion, haemorrhoids, palpitation, relaxed bowels and general ailments of the womb. Mention is made of Ḥunayn ibn Isḥāq.","['ailment', 'bowel', 'haemorrhoid', 'indigestion', 'palpitation', 'pharmacopoeia', 'preparation', 'relaxed', 'remedy', 'womb']"
MS-TS-AR-00044-00190,Medical; halaḵa,0500-01-01,1899-12-31,"Bifolium from a work on women’s hygiene, focussing on the management of women suffering from vaginal discharge and bleeding. The text refers to rabbinical laws on purity.","['bleeding', 'hygiene', 'purity', 'suffering', 'vaginal']"
MS-TS-AR-00044-00193,Medical,0500-01-01,1899-12-31,"Bifolium from a work on pharmacopoeia describing preparations for treating fevers, colics and air in the abdomen through enemas, pessaries, suppositories, gargles and snuffs.","['abdomen', 'air', 'colic', 'enema', 'fever', 'gargle', 'pessary', 'pharmacopoeia', 'preparation', 'snuff', 'suppository', 'treating']"
MS-TS-AR-00044-00201,Medical; mysticism,0500-01-01,1899-12-31,"Folio 1r: medical recipe with ingredients such as saffron, honey, and Levantine apples, chebulic myrobalan, and bamboo. Apples are praised as a simple food capable of restoring wellbeing and happiness. The fragment includes stories of lives of sufis and of drugs that cause elation taken from Badr al-Dīn Muẓaffar, Mufarriḥ al-Nafs (‘The soul-cheerer’; 13th century). There is mention of Sihāb al-Dīn ʿUmar al-Šuhrawardī, ʿAwārif al-maʿārif (‘The knowledge of the spiritually learned’).","['apple', 'bamboo', 'cause', 'chebulic', 'drug', 'elation', 'food', 'happiness', 'honey', 'levantine', 'life', 'medical', 'mufarriḥ', 'myrobalan', 'restoring', 'saffron', 'wellbeing']"
MS-TS-AR-00044-00204,Medical,0500-01-01,1899-12-31,"Nine leaves from a work on materia medica, detailing names of simples, their features and medicinal uses. Simples treated include olives, fumaria, aromatic plants, iris, carrot, and other vegetable foodstuffs.","['carrot', 'foodstuff', 'fumaria', 'iris', 'medica', 'medicinal', 'olive', 'plant', 'treated', 'vegetable']"
MS-TS-AR-00044-00205,Medical,0500-01-01,1899-12-31,"Two leaves from a work on pharmacopoeia, describing the preparation of potions, robs, tablets and aperients.","['aperient', 'pharmacopoeia', 'potion', 'preparation', 'tablet']"
MS-TS-AR-00044-00206,Medical; astrological,0500-01-01,1899-12-31,"Astrological-medical text relating the abundance of crops and health or their opposite, according to the position of the moon relative to the planets.","['astrological-medical', 'health', 'moon']"
MS-TS-AR-00044-00208,Medical,0500-01-01,1899-12-31,"Leaf from a work on fevers, dealing in particular with the treatment of acute, recurring and pestilential fevers and their symptoms, like headache, cough and excessive thirst.","['cough', 'excessive', 'fever', 'headache', 'pestilential', 'thirst', 'treatment']"
MS-TS-AR-00044-00209,Medical,0500-01-01,1899-12-31,"Two leaves from a medical notebook, possibly for personal use, dealing with diseases of the bladder and kidneys, urinal problems, haemorrhoids, colics and ascites. Galen, Al-Rāzī, al-Ṭabarī and Hippocrates are mentioned.","['ascites', 'bladder', 'colic', 'disease', 'galen', 'haemorrhoid', 'hippocrates', 'kidney', 'medical', 'urinal']"
MS-TS-AR-00044-00210,Medical,0500-01-01,1899-12-31,"Leaf from a medical work in Hebrew with some vocabulary in Ladino, focussing on fevers, their different kinds and their treatment. The extant text describes the use of baths and of drinking medical potions.","['bath', 'fever', 'medical', 'potion', 'treatment']"
MS-TS-AR-00044-00215,Medical,0500-01-01,1899-12-31,"Part of a leaf from a medical work, focussing on fevers and, in particular, on septic fevers, their symptoms and their management through food, drinks and baths.","['bath', 'fever', 'food', 'medical', 'septic']"
MS-TS-AR-00044-00218,Medical,0500-01-01,1899-12-31,"Leaves from a work on materia medica, arranged in alphabetical order. Items presented here begin with the letters mīm and nūn and include ammoniac salt, borax, celery seeds, and cumin. Names of entries are copied outside the margins for ease of consultation; occasionally their main qualitative features are also reported in the margins (for example, ‘wet to the second degree’, P2, f. 2r).","['ammoniac', 'borax', 'celery', 'cumin', 'medica', 'nūn', 'salt']"
MS-TS-AR-00044-00222,Medical,0500-01-01,1899-12-31,"Notes on materia medica, possibly for personal use. The fragment opens with a basmala in large script, and lists simples and their uses. The text includes the preparation of a potion with white pepper, manna, and sugar.","['basmala', 'manna', 'medica', 'pepper', 'potion', 'preparation', 'sugar']"
MS-TS-AR-00045-00003,Medical,0500-01-01,1899-12-31,"Bifolium from an anatomical work, focussing on the brain, the pneumata and their positioning within the brain, the heart and the liver; the fragment also deals with pulse and respiration.","['anatomical', 'brain', 'heart', 'liver', 'pneumata', 'pulse', 'respiration']"
MS-TS-AR-00045-00004,Medical,0500-01-01,1899-12-31,"Fragment of a medical work, discussing thirst, its different causes, and presenting recipes for quenching potions.","['cause', 'medical', 'potion', 'thirst']"
MS-TS-AR-00045-00010,Medical,0500-01-01,1899-12-31,Fragment of a leaf from a medical work dealing with pathologies of the liver and the stomach along with colds and the treatment of stomach ache and wind.,"['ache', 'cold', 'liver', 'medical', 'pathology', 'stomach', 'treatment']"
MS-TS-AR-00045-00013,Medical,0500-01-01,1899-12-31,"Part of a leaf from a medical work, dealing with the treatment of fever by cold and iced compresses applied to the head of the patient. The text notes that care should be taken in washing and possibly shaving the head before the compresses are applied.","['care', 'cold', 'fever', 'head', 'iced', 'medical', 'patient', 'shaving', 'treatment']"
MS-TS-AR-00045-00014,Medical,0500-01-01,1899-12-31,"Leaf of a medical work presenting a list of materia medica, with simples, their features and their use.","['medica', 'medical']"
MS-TS-AR-00045-00019,Medical,0500-01-01,1899-12-31,"Leaves from a work on pharmacopoeia, collecting a large number of medical preparation with no clear order.","['medical', 'pharmacopoeia', 'preparation']"
MS-TS-AR-00045-00020,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work, dealing with children’s health and the ailments common in them: fevers, coughs, hiccups, urinary problems, and stomach ache.","['ache', 'ailment', 'child', 'cough', 'fever', 'health', 'hiccup', 'medical', 'stomach', 'urinary']"
MS-TS-AR-00045-00021,Medical,0500-01-01,1899-12-31,"Page from a medical booklet (possibly incomplete), dealing with gynaecological ailments, including menorrhea and heart problems.","['ailment', 'gynaecological', 'heart', 'medical', 'menorrhea']"
MS-TS-AR-00045-00024,Medical,0500-01-01,1899-12-31,Collection of recipes for the treatment of hoarse voice and coughs.,"['cough', 'hoarse', 'treatment']"
MS-TS-AR-00045-00026,Medical,0500-01-01,1899-12-31,"Leaf from a work on pharmacopoeia dedicated to a master, possibly the commissioner of the work. Illnesses discussed are ailments of the stomach and the intestines.","['ailment', 'illness', 'intestine', 'pharmacopoeia', 'stomach']"
MS-TS-AR-00045-00028,Medical,0500-01-01,1899-12-31,"Leaf from a booklet on pharmacology, dealing with the preparation of medicaments with carminative qualities against stomach ailments and colics.","['ailment', 'colic', 'medicament', 'pharmacology', 'preparation', 'stomach']"
MS-TS-AR-00045-00031,Medical,0500-01-01,1899-12-31,"Part of a leaf from a medical work, here presenting recipes for remedies agains liver ailments and mentioning Galen, De methodo medendi (‘On the therapeutic method’, Kitāb ḥīlat al-burʾ).","['ailment', 'galen', 'liver', 'medendi', 'medical', 'remedy', 'therapeutic']"
MS-TS-AR-00045-00032,Medical,0500-01-01,1899-12-31,Collection of recipes from a medical work focussing on ophthalmology. The text describes white and yellow preparations for the eyes in the form of drops and powders.,"['eye', 'medical', 'ophthalmology', 'powder', 'preparation', 'yellow']"
MS-TS-AR-00045-00033,Medical,0500-01-01,1899-12-31,"Leaf from a work on materia medica, providing a list of simples, their qualitative features and their actions. The fragment describes also the preparation of tablets and syrups.","['medica', 'preparation', 'syrup', 'tablet']"
MS-TS-AR-00045-00037,Medical,0500-01-01,1899-12-31,"Bifolium from a theoretical medical work, dealing with medical ethics and in particular with the differing behaviour of physicians who treat members of the elite and those who treat the general public.","['medical', 'physician', 'treat']"
MS-TS-AR-00045-00040,Medical,0500-01-01,1899-12-31,"Bifolium from a booklet on pharmacopoeia, possibly for private use. It presents recipes for a topical preparation to be applied to the liver region for healing liver ailments, and a preparation of berberi tablets.","['ailment', 'healing', 'liver', 'pharmacopoeia', 'preparation', 'tablet', 'topical']"
MS-TS-AR-00045-00045,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work, dealing with the treatment of colics, and upper and lower gastro-intestinal diseases, and the preparation of compound medicines to treat them. Leaf 2 contains the beginning of a ‘Chapter 17: on colics’. Galen is mentioned as an authority.","['colic', 'disease', 'galen', 'gastro-intestinal', 'medical', 'medicine', 'preparation', 'treat', 'treatment']"
MS-TS-AR-00045-00049,Medical,0500-01-01,1899-12-31,"Leaf from a medical work, dealing with dermatological problems: facial skin eruptions and their treatment. The fragment advises patients with skin complaints to avoid goat’s milk and fish from the Nile.","['dermatological', 'eruption', 'facial', 'goat', 'medical', 'milk', 'patient', 'skin', 'treatment']"
MS-TS-AR-00045-00051,Medical,0500-01-01,1899-12-31,"Leaf from a work on materia medica, dealing with simples and their preparation for medical use. Mentions Galen.","['galen', 'medica', 'medical', 'preparation']"
MS-TS-AR-00045-00056,Medical,0500-01-01,1899-12-31,Bifolium from a medical work dealing with the treatment of wounds with different kinds of dressings. Fol. 2r contains a recipe for a hair-dye with a title in Arabic script.,"['hair-dye', 'medical', 'treatment', 'wound']"
MS-TS-AR-00046-00069,Medical,0500-01-01,1899-12-31,Medical aphorisms (not from Hippocrates) devoted to the importance of diet and to crises during fevers.,"['aphorism', 'diet', 'fever', 'hippocrates', 'medical']"
MS-TS-AR-00051-00076,Medical; document,0500-01-01,1899-12-31,"Recto: Arabic medical recipes requiring liquorice, gum arabic, nenuphar, quince seeds and aloes. Verso: part of a business document mentioning a commentary on the book of Genesis. Hillel b. Ḥasan is referred to.","['aloe', 'gum', 'liquorice', 'medical', 'nenuphar', 'quince']"
MS-TS-AR-00051-00134,Medical,0500-01-01,1899-12-31,"Title page (P1) and part (P2) of a treatise on the medical benefits of fasting, with the title Al-maqāla fī faḍaʾil al-ṣawm (‘The treatise on the uses of fasting’). The owner of the book is mentioned in P1, Josiah ha-Kohen b. Mevoraḵ","['fasting', 'medical', 'mevoraḵ']"
