classmark,token
MS-MOSSERI-III-00070-00002,medical
MS-MOSSERI-III-00070-00002,work
MS-MOSSERI-III-00085-00001,fragment
MS-MOSSERI-III-00085-00001,of
MS-MOSSERI-III-00085-00001,medical
MS-MOSSERI-III-00085-00001,work
MS-MOSSERI-III-00085-00001,on
MS-MOSSERI-III-00085-00001,pharmacopoeia
MS-MOSSERI-III-00085-00001,describing
MS-MOSSERI-III-00085-00001,the
MS-MOSSERI-III-00085-00001,preparation
MS-MOSSERI-III-00085-00001,of
MS-MOSSERI-III-00085-00001,compound
MS-MOSSERI-III-00085-00001,remedy
MS-MOSSERI-III-00085-00001,here
MS-MOSSERI-III-00085-00001,dealing
MS-MOSSERI-III-00085-00001,mostly
MS-MOSSERI-III-00085-00001,with
MS-MOSSERI-III-00085-00001,remedy
MS-MOSSERI-III-00085-00001,for
MS-MOSSERI-III-00085-00001,fever
MS-MOSSERI-III-00085-00001,and
MS-MOSSERI-III-00085-00001,mentioning
MS-MOSSERI-III-00085-00001,simple
MS-MOSSERI-III-00085-00001,such
MS-MOSSERI-III-00085-00001,a
MS-MOSSERI-III-00085-00001,lemon
MS-MOSSERI-III-00085-00001,quince
MS-MOSSERI-III-00085-00001,pomegranate
MS-MOSSERI-III-00085-00001,onion
MS-MOSSERI-III-00085-00001,and
MS-MOSSERI-III-00085-00001,wine
MS-MOSSERI-IV-00062-00002,recto
MS-MOSSERI-IV-00062-00002,letter
MS-MOSSERI-IV-00062-00002,mentioning
MS-MOSSERI-IV-00062-00002,abū
MS-MOSSERI-IV-00062-00002,surūr
MS-MOSSERI-IV-00062-00002,and
MS-MOSSERI-IV-00062-00002,abū
MS-MOSSERI-IV-00062-00002,jacob
MS-MOSSERI-IV-00062-00002,verso
MS-MOSSERI-IV-00062-00002,list
MS-MOSSERI-IV-00062-00002,of
MS-MOSSERI-IV-00062-00002,medical
MS-MOSSERI-IV-00062-00002,simple
MS-MOSSERI-IV-00062-00002,including
MS-MOSSERI-IV-00062-00002,saffron
MS-MOSSERI-IV-00062-00002,sugar
MS-MOSSERI-IV-00062-00002,aloe
MS-MOSSERI-IV-00062-00002,camphor
MS-MOSSERI-IV-00062-00002,honey
MS-MOSSERI-IV-00062-00002,and
MS-MOSSERI-IV-00062-00002,alum
MS-MOSSERI-VII-00159-00002,letter
MS-MOSSERI-VII-00159-00002,from
MS-MOSSERI-VII-00159-00002,ibn
MS-MOSSERI-VII-00159-00002,hanzar
MS-MOSSERI-VII-00159-00002,to
MS-MOSSERI-VII-00159-00002,the
MS-MOSSERI-VII-00159-00002,trader
MS-MOSSERI-VII-00159-00002,abū
MS-MOSSERI-VII-00159-00002,l-muḥsin
MS-MOSSERI-VII-00159-00002,including
MS-MOSSERI-VII-00159-00002,request
MS-MOSSERI-VII-00159-00002,for
MS-MOSSERI-VII-00159-00002,medicinal
MS-MOSSERI-VII-00159-00002,substance
MS-OR-01081-00001-00021,ibn
MS-OR-01081-00001-00021,al-bayṯar
MS-OR-01081-00001-00021,al-jāmiʿ
MS-OR-01081-00001-00021,li-mufradāt
MS-OR-01081-00001-00021,compendium
MS-OR-01081-00001-00021,of
MS-OR-01081-00001-00021,simple
MS-OR-01081-00001-00021,medicament
MS-OR-01081-00001-00021,corresponding
MS-OR-01081-00001-00021,to
MS-OR-01081-00001-00021,in
MS-OR-01081-00001-00021,the
MS-OR-01081-00001-00021,būlāq
MS-OR-01081-00001-00021,edition
MS-OR-01081-00001-00029,page
MS-OR-01081-00001-00029,from
MS-OR-01081-00001-00029,medical
MS-OR-01081-00001-00029,work
MS-OR-01081-00001-00029,with
MS-OR-01081-00001-00029,discussion
MS-OR-01081-00001-00029,of
MS-OR-01081-00001-00029,the
MS-OR-01081-00001-00029,critical
MS-OR-01081-00001-00029,day
MS-OR-01081-00001-00078,collection
MS-OR-01081-00001-00078,of
MS-OR-01081-00001-00078,recipe
MS-OR-01081-00001-00078,and
MS-OR-01081-00001-00078,instruction
MS-OR-01081-00001-00078,for
MS-OR-01081-00001-00078,preparation
MS-OR-01081-00001-00078,possibly
MS-OR-01081-00001-00078,from
MS-OR-01081-00001-00078,notebook
MS-OR-01081-00001-00078,for
MS-OR-01081-00001-00078,personal
MS-OR-01081-00001-00078,use
MS-OR-01081-00001-00078,the
MS-OR-01081-00001-00078,recipe
MS-OR-01081-00001-00078,include
MS-OR-01081-00001-00078,materia
MS-OR-01081-00001-00078,medica
MS-OR-01081-00001-00078,such
MS-OR-01081-00001-00078,a
MS-OR-01081-00001-00078,copper
MS-OR-01081-00001-00078,ammonia
MS-OR-01081-00001-00078,and
MS-OR-01081-00001-00078,salt
MS-OR-01081-00001-00078,substance
MS-OR-01081-00001-00078,called
MS-OR-01081-00001-00078,אבק
MS-OR-01081-00001-00078,is
MS-OR-01081-00001-00078,mentioned
MS-OR-01081-00001-00078,in
MS-OR-01081-00001-00078,most
MS-OR-01081-00001-00078,of
MS-OR-01081-00001-00078,the
MS-OR-01081-00001-00078,recipe
MS-OR-01081-00002-00050,recto
MS-OR-01081-00002-00050,genesis
MS-OR-01081-00002-00050,and
MS-OR-01081-00002-00050,from
MS-OR-01081-00002-00050,the
MS-OR-01081-00002-00050,hebrew
MS-OR-01081-00002-00050,bible
MS-OR-01081-00002-00050,verso
MS-OR-01081-00002-00050,possibly
MS-OR-01081-00002-00050,the
MS-OR-01081-00002-00050,beginning
MS-OR-01081-00002-00050,of
MS-OR-01081-00002-00050,story
MS-OR-01081-00002-00050,in
MS-OR-01081-00002-00050,judaeo-arabic
MS-OR-01081-00002-00050,of
MS-OR-01081-00002-00050,an
MS-OR-01081-00002-00050,ascetic
MS-OR-01081-00002-00050,man
MS-OR-01081-00002-00050,passing
MS-OR-01081-00002-00050,doctor
MS-OR-01081-00002-00050,office
MS-OR-01081-00002-00050,where
MS-OR-01081-00002-00050,the
MS-OR-01081-00002-00050,treatment
MS-OR-01081-00002-00050,for
MS-OR-01081-00002-00050,boy
MS-OR-01081-00002-00050,ailment
MS-OR-01081-00002-00050,such
MS-OR-01081-00002-00050,a
MS-OR-01081-00002-00050,medication
MS-OR-01081-00002-00050,pill
MS-OR-01081-00002-00050,bloodletting
MS-OR-01081-00002-00050,and
MS-OR-01081-00002-00050,urine
MS-OR-01081-00002-00050,analysis
MS-OR-01081-00002-00050,are
MS-OR-01081-00002-00050,being
MS-OR-01081-00002-00050,loudly
MS-OR-01081-00002-00050,discussed
MS-OR-01081-J-00060,medical
MS-OR-01081-J-00060,remedy
MS-OR-01081-J-00060,with
MS-OR-01081-J-00060,ingredient
MS-OR-01081-J-00060,such
MS-OR-01081-J-00060,a
MS-OR-01081-J-00060,roman
MS-OR-01081-J-00060,bole
MS-OR-01081-J-00060,cinnamon
MS-OR-01081-J-00060,chalk
MS-OR-01081-J-00060,tragacanth
MS-OR-01081-J-00060,liquorice
MS-OR-01081-J-00060,and
MS-OR-01081-J-00060,pomegranate
MS-OR-01081-J-00060,seed
MS-OR-01081-J-00060,possibly
MS-OR-01081-J-00060,from
MS-OR-01081-J-00060,booklet
MS-OR-01081-J-00060,for
MS-OR-01081-J-00060,personal
MS-OR-01081-J-00060,use
MS-OR-01081-J-00071,recto
MS-OR-01081-J-00071,letter
MS-OR-01081-J-00071,to
MS-OR-01081-J-00071,abū
MS-OR-01081-J-00071,l-ṭāhir
MS-OR-01081-J-00071,verso
MS-OR-01081-J-00071,recipe
MS-OR-01081-J-00071,featuring
MS-OR-01081-J-00071,cheese
MS-OR-01081-J-00071,lemon
MS-OR-01081-J-00071,meat
MS-OR-01081-J-00071,fish
MS-OR-01081-J-00071,and
MS-OR-01081-J-00071,chicken
MS-TS-00012-00823,recto
MS-TS-00012-00823,opening
MS-TS-00012-00823,of
MS-TS-00012-00823,the
MS-TS-00012-00823,chapter
MS-TS-00012-00823,of
MS-TS-00012-00823,medical
MS-TS-00012-00823,work
MS-TS-00012-00823,dealing
MS-TS-00012-00823,with
MS-TS-00012-00823,headache
MS-TS-00012-00823,and
MS-TS-00012-00823,migraine
MS-TS-00012-00823,their
MS-TS-00012-00823,cause
MS-TS-00012-00823,symptom
MS-TS-00012-00823,and
MS-TS-00012-00823,treatment
MS-TS-00012-00823,verso
MS-TS-00012-00823,jotting
MS-TS-00012-00823,of
MS-TS-00012-00823,title
MS-TS-00012-00823,page
MS-TS-00012-00823,for
MS-TS-00012-00823,the
MS-TS-00012-00823,third
MS-TS-00012-00823,part
MS-TS-00012-00823,of
MS-TS-00012-00823,maimonides
MS-TS-00012-00823,guide
MS-TS-00012-00823,for
MS-TS-00012-00823,the
MS-TS-00012-00823,perplexed
MS-TS-00012-00823,and
MS-TS-00012-00823,other
MS-TS-00012-00823,pen
MS-TS-00012-00823,exercise
MS-TS-AR-00011-00018,two
MS-TS-AR-00011-00018,bifolia
MS-TS-AR-00011-00018,from
MS-TS-AR-00011-00018,medical
MS-TS-AR-00011-00018,work
MS-TS-AR-00011-00018,presented
MS-TS-AR-00011-00018,in
MS-TS-AR-00011-00018,the
MS-TS-AR-00011-00018,form
MS-TS-AR-00011-00018,of
MS-TS-AR-00011-00018,question
MS-TS-AR-00011-00018,and
MS-TS-AR-00011-00018,answer
MS-TS-AR-00011-00018,and
MS-TS-AR-00011-00018,written
MS-TS-AR-00011-00018,in
MS-TS-AR-00011-00018,an
MS-TS-AR-00011-00018,elegant
MS-TS-AR-00011-00018,semi-kufic
MS-TS-AR-00011-00018,script
MS-TS-AR-00011-00018,with
MS-TS-AR-00011-00018,rubricated
MS-TS-AR-00011-00018,chapter
MS-TS-AR-00011-00018,heading
MS-TS-AR-00011-00018,the
MS-TS-AR-00011-00018,extant
MS-TS-AR-00011-00018,text
MS-TS-AR-00011-00018,preserve
MS-TS-AR-00011-00018,part
MS-TS-AR-00011-00018,of
MS-TS-AR-00011-00018,chapter
MS-TS-AR-00011-00018,covering
MS-TS-AR-00011-00018,the
MS-TS-AR-00011-00018,topic
MS-TS-AR-00011-00018,of
MS-TS-AR-00011-00018,alcoholism
MS-TS-AR-00011-00018,memory
MS-TS-AR-00011-00018,loss
MS-TS-AR-00011-00018,and
MS-TS-AR-00011-00018,diet
MS-TS-AR-00011-00026,medical
MS-TS-AR-00011-00026,text
MS-TS-AR-00011-00026,dealing
MS-TS-AR-00011-00026,with
MS-TS-AR-00011-00026,the
MS-TS-AR-00011-00026,anatomy
MS-TS-AR-00011-00026,of
MS-TS-AR-00011-00026,the
MS-TS-AR-00011-00026,heart
MS-TS-AR-00011-00026,the
MS-TS-AR-00011-00026,lung
MS-TS-AR-00011-00026,and
MS-TS-AR-00011-00026,the
MS-TS-AR-00011-00026,liver
MS-TS-AR-00011-00027,text
MS-TS-AR-00011-00027,on
MS-TS-AR-00011-00027,urine
MS-TS-AR-00011-00027,according
MS-TS-AR-00011-00027,to
MS-TS-AR-00011-00027,galenic
MS-TS-AR-00011-00027,medicine
MS-TS-AR-00011-00027,urine
MS-TS-AR-00011-00027,is
MS-TS-AR-00011-00027,here
MS-TS-AR-00011-00027,examined
MS-TS-AR-00011-00027,for
MS-TS-AR-00011-00027,it
MS-TS-AR-00011-00027,appearance
MS-TS-AR-00011-00027,colour
MS-TS-AR-00011-00027,consistency
MS-TS-AR-00011-00027,presence
MS-TS-AR-00011-00027,of
MS-TS-AR-00011-00027,solid
MS-TS-AR-00011-00027,precipitate
MS-TS-AR-00011-00027,or
MS-TS-AR-00011-00027,froth
MS-TS-AR-00011-00028,note
MS-TS-AR-00011-00028,on
MS-TS-AR-00011-00028,the
MS-TS-AR-00011-00028,preparation
MS-TS-AR-00011-00028,of
MS-TS-AR-00011-00028,food
MS-TS-AR-00011-00028,the
MS-TS-AR-00011-00028,medical
MS-TS-AR-00011-00028,purpose
MS-TS-AR-00011-00028,of
MS-TS-AR-00011-00028,the
MS-TS-AR-00011-00028,foodstuff
MS-TS-AR-00011-00028,described
MS-TS-AR-00011-00028,is
MS-TS-AR-00011-00028,not
MS-TS-AR-00011-00028,made
MS-TS-AR-00011-00028,explicit
MS-TS-AR-00011-00028,the
MS-TS-AR-00011-00028,text
MS-TS-AR-00011-00028,includes
MS-TS-AR-00011-00028,pickling
MS-TS-AR-00011-00028,of
MS-TS-AR-00011-00028,vegetable
MS-TS-AR-00011-00028,in
MS-TS-AR-00011-00028,vinegar
MS-TS-AR-00011-00028,the
MS-TS-AR-00011-00028,preparation
MS-TS-AR-00011-00028,of
MS-TS-AR-00011-00028,rose
MS-TS-AR-00011-00028,water
MS-TS-AR-00011-00028,and
MS-TS-AR-00011-00028,another
MS-TS-AR-00011-00028,meat-based
MS-TS-AR-00011-00028,recipe
MS-TS-AR-00011-00029,two
MS-TS-AR-00011-00029,page
MS-TS-AR-00011-00029,from
MS-TS-AR-00011-00029,saʿīd
MS-TS-AR-00011-00029,ibn
MS-TS-AR-00011-00029,hibat
MS-TS-AR-00011-00029,allāh
MS-TS-AR-00011-00029,al-muḡnī
MS-TS-AR-00011-00029,fī
MS-TS-AR-00011-00029,l-ṭibb
MS-TS-AR-00011-00029,the
MS-TS-AR-00011-00029,sufficient
MS-TS-AR-00011-00029,book
MS-TS-AR-00011-00029,on
MS-TS-AR-00011-00029,medicine
MS-TS-AR-00011-00029,dealing
MS-TS-AR-00011-00029,with
MS-TS-AR-00011-00029,ailment
MS-TS-AR-00011-00029,of
MS-TS-AR-00011-00029,the
MS-TS-AR-00011-00029,reproductive
MS-TS-AR-00011-00029,and
MS-TS-AR-00011-00029,urinary
MS-TS-AR-00011-00029,system
MS-TS-AR-00011-00029,like
MS-TS-AR-00011-00029,priapism
MS-TS-AR-00011-00029,impotence
MS-TS-AR-00011-00029,colic
MS-TS-AR-00011-00029,kidney
MS-TS-AR-00011-00029,problem
MS-TS-AR-00011-00029,stone
MS-TS-AR-00011-00029,and
MS-TS-AR-00011-00029,sand
MS-TS-AR-00011-00029,in
MS-TS-AR-00011-00029,the
MS-TS-AR-00011-00029,urine
MS-TS-AR-00011-00029,there
MS-TS-AR-00011-00029,are
MS-TS-AR-00011-00029,table
MS-TS-AR-00011-00029,with
MS-TS-AR-00011-00029,rubricated
MS-TS-AR-00011-00029,border
MS-TS-AR-00011-00029,listing
MS-TS-AR-00011-00029,the
MS-TS-AR-00011-00029,name
MS-TS-AR-00011-00029,of
MS-TS-AR-00011-00029,disease
MS-TS-AR-00011-00029,their
MS-TS-AR-00011-00029,symptom
MS-TS-AR-00011-00029,and
MS-TS-AR-00011-00029,treatment
MS-TS-AR-00011-00030,from
MS-TS-AR-00011-00030,an
MS-TS-AR-00011-00030,unidentified
MS-TS-AR-00011-00030,medical
MS-TS-AR-00011-00030,work
MS-TS-AR-00011-00030,the
MS-TS-AR-00011-00030,extant
MS-TS-AR-00011-00030,text
MS-TS-AR-00011-00030,discus
MS-TS-AR-00011-00030,foot
MS-TS-AR-00011-00030,problem
MS-TS-AR-00011-00030,and
MS-TS-AR-00011-00030,dispenses
MS-TS-AR-00011-00030,advice
MS-TS-AR-00011-00030,to
MS-TS-AR-00011-00030,the
MS-TS-AR-00011-00030,traveller
MS-TS-AR-00011-00030,illness
MS-TS-AR-00011-00030,under
MS-TS-AR-00011-00030,discussion
MS-TS-AR-00011-00030,include
MS-TS-AR-00011-00030,gangrenous
MS-TS-AR-00011-00030,infection
MS-TS-AR-00011-00030,and
MS-TS-AR-00011-00030,abscess
MS-TS-AR-00011-00030,the
MS-TS-AR-00011-00030,text
MS-TS-AR-00011-00030,describes
MS-TS-AR-00011-00030,the
MS-TS-AR-00011-00030,scraping
MS-TS-AR-00011-00030,of
MS-TS-AR-00011-00030,necrotic
MS-TS-AR-00011-00030,tissue
MS-TS-AR-00011-00030,together
MS-TS-AR-00011-00030,with
MS-TS-AR-00011-00030,the
MS-TS-AR-00011-00030,treatment
MS-TS-AR-00011-00030,of
MS-TS-AR-00011-00030,cracked
MS-TS-AR-00011-00030,heel
MS-TS-AR-00011-00030,traveller
MS-TS-AR-00011-00030,are
MS-TS-AR-00011-00030,advised
MS-TS-AR-00011-00030,to
MS-TS-AR-00011-00030,undergo
MS-TS-AR-00011-00030,phlebotomy
MS-TS-AR-00011-00030,before
MS-TS-AR-00011-00030,setting
MS-TS-AR-00011-00030,off
MS-TS-AR-00011-00031,heading
MS-TS-AR-00011-00031,of
MS-TS-AR-00011-00031,chapter
MS-TS-AR-00011-00031,are
MS-TS-AR-00011-00031,in
MS-TS-AR-00011-00031,decorative
MS-TS-AR-00011-00031,arabic
MS-TS-AR-00011-00031,script
MS-TS-AR-00011-00031,the
MS-TS-AR-00011-00031,text
MS-TS-AR-00011-00031,describes
MS-TS-AR-00011-00031,the
MS-TS-AR-00011-00031,preparation
MS-TS-AR-00011-00031,of
MS-TS-AR-00011-00031,great
MS-TS-AR-00011-00031,medicine
MS-TS-AR-00011-00031,of
MS-TS-AR-00011-00031,perfume
MS-TS-AR-00011-00031,and
MS-TS-AR-00011-00031,ointment
MS-TS-AR-00011-00031,for
MS-TS-AR-00011-00031,da
MS-TS-AR-00011-00031,awud
MS-TS-AR-00011-00031,ibn
MS-TS-AR-00011-00031,moses
MS-TS-AR-00011-00031,the
MS-TS-AR-00011-00031,recipe
MS-TS-AR-00011-00031,for
MS-TS-AR-00011-00031,the
MS-TS-AR-00011-00031,fragrance
MS-TS-AR-00011-00031,is
MS-TS-AR-00011-00031,attributed
MS-TS-AR-00011-00031,to
MS-TS-AR-00011-00031,galen
MS-TS-AR-00011-00031,f.
MS-TS-AR-00011-00031,line
MS-TS-AR-00011-00031,the
MS-TS-AR-00011-00031,preparation
MS-TS-AR-00011-00031,appear
MS-TS-AR-00011-00031,to
MS-TS-AR-00011-00031,be
MS-TS-AR-00011-00031,mostly
MS-TS-AR-00011-00031,based
MS-TS-AR-00011-00031,on
MS-TS-AR-00011-00031,avicenna
MS-TS-AR-00011-00031,al-qanūn
MS-TS-AR-00011-00031,fī
MS-TS-AR-00011-00031,l-ṭibb
MS-TS-AR-00011-00031,canon
MS-TS-AR-00011-00031,of
MS-TS-AR-00011-00031,medicine
MS-TS-AR-00011-00031,ed
MS-TS-AR-00011-00031,būlāq
MS-TS-AR-00011-00032,part
MS-TS-AR-00011-00032,of
MS-TS-AR-00011-00032,what
MS-TS-AR-00011-00032,wa
MS-TS-AR-00011-00032,probably
MS-TS-AR-00011-00032,medical
MS-TS-AR-00011-00032,notebook
MS-TS-AR-00011-00032,containing
MS-TS-AR-00011-00032,various
MS-TS-AR-00011-00032,note
MS-TS-AR-00011-00032,on
MS-TS-AR-00011-00032,the
MS-TS-AR-00011-00032,treatment
MS-TS-AR-00011-00032,of
MS-TS-AR-00011-00032,different
MS-TS-AR-00011-00032,illness
MS-TS-AR-00011-00032,including
MS-TS-AR-00011-00032,throat
MS-TS-AR-00011-00032,infection
MS-TS-AR-00011-00032,cough
MS-TS-AR-00011-00032,diarrhoea
MS-TS-AR-00011-00032,facial
MS-TS-AR-00011-00032,paralysis
MS-TS-AR-00011-00032,and
MS-TS-AR-00011-00032,confusion
MS-TS-AR-00011-00034,medical
MS-TS-AR-00011-00034,work
MS-TS-AR-00011-00034,on
MS-TS-AR-00011-00034,the
MS-TS-AR-00011-00034,treatment
MS-TS-AR-00011-00034,of
MS-TS-AR-00011-00034,wound
MS-TS-AR-00011-00034,fol
MS-TS-AR-00011-00034,present
MS-TS-AR-00011-00034,recipe
MS-TS-AR-00011-00034,composed
MS-TS-AR-00011-00034,of
MS-TS-AR-00011-00034,dry
MS-TS-AR-00011-00034,and
MS-TS-AR-00011-00034,wet
MS-TS-AR-00011-00034,drug
MS-TS-AR-00011-00034,that
MS-TS-AR-00011-00034,need
MS-TS-AR-00011-00034,to
MS-TS-AR-00011-00034,be
MS-TS-AR-00011-00034,mixed
MS-TS-AR-00011-00034,together
MS-TS-AR-00011-00034,and
MS-TS-AR-00011-00034,applied
MS-TS-AR-00011-00034,to
MS-TS-AR-00011-00034,wound
MS-TS-AR-00011-00034,on
MS-TS-AR-00011-00034,the
MS-TS-AR-00011-00034,hand
MS-TS-AR-00011-00034,and
MS-TS-AR-00011-00034,foot
MS-TS-AR-00011-00034,fol
MS-TS-AR-00011-00034,ha
MS-TS-AR-00011-00034,the
MS-TS-AR-00011-00034,opening
MS-TS-AR-00011-00034,of
MS-TS-AR-00011-00034,chapter
MS-TS-AR-00011-00034,on
MS-TS-AR-00011-00034,wound
MS-TS-AR-00011-00034,caused
MS-TS-AR-00011-00034,by
MS-TS-AR-00011-00034,sword
MS-TS-AR-00011-00034,cut
MS-TS-AR-00011-00036,table
MS-TS-AR-00011-00036,of
MS-TS-AR-00011-00036,content
MS-TS-AR-00011-00036,from
MS-TS-AR-00011-00036,medical
MS-TS-AR-00011-00036,treatise
MS-TS-AR-00011-00036,the
MS-TS-AR-00011-00036,legible
MS-TS-AR-00011-00036,chapter
MS-TS-AR-00011-00036,heading
MS-TS-AR-00011-00036,go
MS-TS-AR-00011-00036,from
MS-TS-AR-00011-00036,to
MS-TS-AR-00011-00036,and
MS-TS-AR-00011-00036,deal
MS-TS-AR-00011-00036,with
MS-TS-AR-00011-00036,the
MS-TS-AR-00011-00036,liver
MS-TS-AR-00011-00036,stomach
MS-TS-AR-00011-00036,tooth
MS-TS-AR-00011-00036,disease
MS-TS-AR-00011-00036,and
MS-TS-AR-00011-00036,child
MS-TS-AR-00011-00036,health
MS-TS-AR-00019-00008,from
MS-TS-AR-00019-00008,ibn
MS-TS-AR-00019-00008,buṭlān
MS-TS-AR-00019-00008,daʿwat
MS-TS-AR-00019-00008,al-aṭibbāʾ
MS-TS-AR-00019-00008,the
MS-TS-AR-00019-00008,banquet
MS-TS-AR-00019-00008,of
MS-TS-AR-00019-00008,the
